6901.R250,Wrestling 11th Girls (Af.S.)
6901.R270,Wrestling 112th Girls (Af.S.)
6901.R140,Wrestling 10th Boys (Af.S.)
6901.R160,Wrestling 11th Boys (Af.S.)
6901.R180,Wrestling 112th Boys (Af.S.)
6901.R240,Wrestling 10th Girls (Af.S.)
6901.R260,Wrestling 11th Girls (Af.S.)
6901.R280,Wrestling 112th Girls (Af.S.)
6911.R040,Baseball 10th (Af.S.)
6911.R060,Baseball 11th (Af.S.)
6911.R080,Baseball 12th (Af.S.)
6912.R130,Boys Basketball 10th
6912.R150,Boys Basketball 11th
6912.R170,Boys Basketball 12th
6912.R230,Girls Basketball 10th
6912.R250,Girls Basketball 11th
6912.R270,Girls Basketball 12th
6912.R140,Boys Basketball 10th
6912.R160,Boys Basketball 11th
6912.R180,Boys Basketball 12th
6912.R240,Girls Basketball 10th
6912.R260,Girls Basketball 11th
6912.R280,Girls Basketball 12th
6913.R120,Boys Track and Field 10th (Af.S.)
6913.R130,Boys Track and Field 11th (Af.S.)
6913.R140,Boys Track and Field 12th (Af.S.)
6913.R220,Girls Track and Field 10th (Af.S.)
6913.R230,Girls Track and Field 11th (Af.S.)
6913.R240,Girls Track and Field 12th (Af.S.)
6914.R120,Boys Cross Country 10th (Bf.S.)
6914.R130,Boys Cross Country 11th (Bf.S.)
6914.R140,Boys Cross Country 12th (Bf.S.)
6914.R220,Girls Cross Country 10th (Bf.S.)
6914.R230,Girls Cross Country 11th (Bf.S.)
6914.R240,Girls Cross Country 12th (Bf.S.)
6921.R010,Cheerleading 1st Time Taken
6921.R020,Cheerleading 2nd Time Taken
6915.R030,Volleyball 10th (Af.S.)
6915.R050,Volleyball 11th (Af.S.)
6915.R070,Volleyball 12th (Af.S.)
6916.R130,Boys Golf 10th (Af.S.)
6916.R150,Boys Golf 11th (Af.S.)
6916.R170,Boys Golf 12th (Af.S.)
6916.R230,Girls Golf 10th (Af.S.)
6916.R250,Girls Golf 11th (Af.S.)
6916.R270,Girls Golf 12th (Af.S.)
6916.R140,Boys Golf 10th (Af.S.)
6916.R160,Boys Golf 11th (Af.S.)
6916.R180,Boys Golf 12th (Af.S.)
6916.R240,Girls Golf 10th (Af.S.)
6916.R260,Girls Golf 11th (Af.S.)
6916.R280,Girls Golf 12th (Af.S.)
6918.R030,Swimming 10th (Bf.S.)
6918.R050,Swimming 11th (Bf.S.)
6918.R070,Swimming 12th (Bf.S.)
6919.R030,Tennis 10th (Af.S.)
6919.R050,Tennis 11th (Af.S.)
6919.R070,Tennis 12th (Af.S.)
6923.R030,Football 10th
6923.R050,Football 11th
6923.R070,Football 12th
6919.R040,Tennis 10th (Af.S.)
6919.R060,Tennis 11th (Af.S.)
6919.R080,Tennis 12th (Af.S.)
6923.R040,Football 10th
6923.R060,Football 11th
6923.R080,Football 12th
6924.R140,Boys Soccer 10th (Af.S.)
6924.R160,Boys Soccer 11th (Af.S.)
6924.R180,Boys Soccer 12th (Af.S.)
6924.R240,Girls Soccer 10th (Af.S.)
6924.R260,Girls Soccer 11th (Af.S.)
6924.R280,Girls Soccer 12th (Af.S.)
6925.R040,Softball 10th (Af.S.)
6925.R060,Softball 11th (Af.S.)
